,vmID,vCPU,vMem,DimDataInstance,vSAPS,targetVM,Error,tCPU,tMem,tSAPS
52,aljhcmprda1 ,12,65.9,D16s_v3 ,0,E8s_v3,0.0005040249174798214,8.0,64.0,8710.0
53,aljhcmprda2 ,12,65.9,D16s_v3 ,0,E8s_v3,0.0005040249174798214,8.0,64.0,8710.0
54,aljhcmprda3 ,12,65.9,D16s_v3 ,0,E8s_v3,0.0005040249174798214,8.0,64.0,8710.0
55,aljhcmprda4 ,12,65.9,D16s_v3 ,0,E8s_v3,0.0005040249174798214,8.0,64.0,8710.0
56,aljhcmprddb ,32,132.0,D32s_v3 ,0,D32s_v3,5.303121098891527e-07,32.0,128.0,34840.0
57,aljhcmprddbc ,32,132.0,D32s_v3 ,0,D32s_v3,5.303121098891527e-07,32.0,128.0,34840.0
58,aljhcmprdpas ,16,99.0,D16s_v3 ,0,DS14,5.601421660704194e-06,16.0,112.0,18600.0
59,aljhcmqa ,16,66.0,D16s_v3 ,0,D16s_v3,1.3257802747228818e-07,16.0,64.0,17420.0
60,aljhcmsu ,16,66.0,D16s_v3 ,0,D16s_v3,1.3257802747228818e-07,16.0,64.0,17420.0
61,aljcrmdev ,8,32.9,D8s_v3 ,0,D8s_v3,2.684705056313836e-08,8.0,32.0,8710.0
62,aljcrmprd1 ,8,32.9,D8s_v3 ,0,D8s_v3,2.684705056313836e-08,8.0,32.0,8710.0
63,aljcrmprd2 ,8,32.9,D8s_v3 ,0,D8s_v3,2.684705056313836e-08,8.0,32.0,8710.0
64,aljcrmprda1 ,16,32.9,D16s_v3 ,0,D16s_v3,3.205769848786806e-05,16.0,64.0,17420.0
65,aljcrmprda2 ,16,32.9,D16s_v3 ,0,D16s_v3,3.205769848786806e-05,16.0,64.0,17420.0
66,aljcrmprda3 ,16,32.9,D16s_v3 ,0,D16s_v3,3.205769848786806e-05,16.0,64.0,17420.0
67,aljcrmprda4 ,16,32.9,D16s_v3 ,0,D16s_v3,3.205769848786806e-05,16.0,64.0,17420.0
68,aljcrmprddb ,24,132.0,D32s_v3 ,0,DS15_v2,0.0005060265142495842,20.0,140.0,30430.0
69,aljcrmprddbc ,24,132.0,D32s_v3 ,0,DS15_v2,0.0005060265142495842,20.0,140.0,30430.0
70,aljcrmprdpas ,16,32.9,D16s_v3 ,0,D16s_v3,3.205769848786806e-05,16.0,64.0,17420.0
71,aljcrmqa ,16,32.9,D16s_v3 ,0,D16s_v3,3.205769848786806e-05,16.0,64.0,17420.0
72,aljcrmsu ,16,32.9,D16s_v3 ,0,D16s_v3,3.205769848786806e-05,16.0,64.0,17420.0
73,aljlcdev ,4,32.9,D4s_v3 ,0,E4sv3,2.684705056313836e-08,4.0,32.0,4355.0
74,aljlcprd1 ,24,65.9,D32s_v3 ,0,DS15_v2,0.0006858954555663067,20.0,140.0,30430.0
75,ALJLCQA ,16,66.0,D16s_v3 ,0,D16s_v3,1.3257802747228818e-07,16.0,64.0,17420.0
76,aljlcsu ,16,66.0,D16s_v3 ,0,D16s_v3,1.3257802747228818e-07,16.0,64.0,17420.0
77,aljtrxdev ,4,32.9,D4s_v3 ,0,E4sv3,2.684705056313836e-08,4.0,32.0,4355.0
78,aljtrxprd1 ,16,32.9,D16s_v3 ,0,D16s_v3,3.205769848786806e-05,16.0,64.0,17420.0
79,ALJTRXQA ,8,32.9,D8s_v3 ,0,D8s_v3,2.684705056313836e-08,8.0,32.0,8710.0
80,aljewmdev ,4,32.9,D4s_v3 ,0,E4sv3,2.684705056313836e-08,4.0,32.0,4355.0
81,aljewmprd1 ,4,32.9,D4s_v3 ,0,E4sv3,2.684705056313836e-08,4.0,32.0,4355.0
82,aljewmprd2 ,4,32.9,D4s_v3 ,0,E4sv3,2.684705056313836e-08,4.0,32.0,4355.0
83,aljewmprda1 ,8,32.9,D8s_v3 ,0,D8s_v3,2.684705056313836e-08,8.0,32.0,8710.0
84,aljewmprda2 ,8,32.9,D8s_v3 ,0,D8s_v3,2.684705056313836e-08,8.0,32.0,8710.0
85,aljewmprda3 ,8,32.9,D8s_v3 ,0,D8s_v3,2.684705056313836e-08,8.0,32.0,8710.0
86,aljewmprda4 ,8,32.9,D8s_v3 ,0,D8s_v3,2.684705056313836e-08,8.0,32.0,8710.0
87,aljewmprddb ,16,65.9,D16s_v3 ,0,D16s_v3,1.1965166979374053e-07,16.0,64.0,17420.0
88,aljewmprddbc ,16,65.9,D16s_v3 ,0,D16s_v3,1.1965166979374053e-07,16.0,64.0,17420.0
89,aljewmprdpas ,16,32.9,D16s_v3 ,0,D16s_v3,3.205769848786806e-05,16.0,64.0,17420.0
90,ALJEWMQA ,16,66.0,D16s_v3 ,0,D16s_v3,1.3257802747228818e-07,16.0,64.0,17420.0
91,aljewmsu ,16,66.0,D16s_v3 ,0,D16s_v3,1.3257802747228818e-07,16.0,64.0,17420.0
92,aljbidev ,4,66.0,D4s_v3 ,0,E8-4s_v3,1.3257802747228818e-07,4.0,64.0,4378.0
93,aljbiprd1 ,16,65.9,D16s_v3 ,0,D16s_v3,1.1965166979374053e-07,16.0,64.0,17420.0
