vmID;vCPU;vMem;DimDataInstance
ALJGRCSND ;4;12.2;D4s_v3 
aljepdev ;4;32.9;D4s_v3 
aljepprd1 ;8;65.9;D8s_v3 
aljepprd2 ;8;65.9;D8s_v3 
aljepprddb ;4;32.9;D4s_v3 
aljepprddbc ;4;32.9;D4s_v3 
aljepprdpas ;4;32.9;D4s_v3 
aljepqa ;8;32.9;D8s_v3 
aljepsnd ;8;32.9;D8s_v3 
ALJSMDEV ;16;198.1;D4s_v3 
aljsmprd ;8;132;D8s_v3 
aljsmprda1 ;4;32.9;D4s_v3 
aljsmprda2 ;4;32.9;D4s_v3 
aljsmprddb ;16;264.1;M64ls 
ALJSMQA ;16;198.1;D4s_v3 
aljwddev ;4;16.4;D4s_v3 
aljwdprd1 ;4;8.2;D4s_v3 
aljwdqa ;4;16.4;D4s_v3 
ALJSAPROUTER ;4;8.6;D4s_v3 
aljbasis ;24;66;D32s_v3 
aljnw9ci1 ;4;16.4;D4s_v3 
aljnw9ci2 ;4;16.4;D4s_v3 
aljnw9db1 ;8;32.9;D8s_v3 
aljnw9db2 ;8;32.9;D8s_v3 
aljnw9pasfm ;4;8.1;D4s_v3 
ALJSAPGUI ;8;8.6;D8s_v3 
